Heure,Protocole,Source,Destination,Drapeaux TCP,Numéro de séquence,Numéro d'accusé de réception,Taille de la fenêtre de réception,Longueur
11:42:04.766656,11,BP-Linux8.ssh,168.190.130.50019,P.,2243505564,1972915080,312,108
11:42:04.766694,11,BP-Linux8.ssh,168.190.130.50019,P.,108,1,312,36
11:42:04.766723,11,BP-Linux8.ssh,168.190.130.50019,P.,144,1,312,108
11:42:04.766744,11,BP-Linux8.ssh,168.190.130.50019,P.,252,1,312,36
11:42:04.785366,11,192.168.190.130.50019,BP-Linux8.ssh,P.,252,108,7319,0
11:42:04.785384,11,192.168.190.130.50019,BP-Linux8.ssh,P.,252,144,7318,0
11:42:04.785406,11,192.168.190.130.50019,BP-Linux8.ssh,P.,252,252,7316,0
11:42:04.785454,11,192.168.190.130.50019,BP-Linux8.ssh,P.,252,288,7320,0
11:42:05.768334,11,BP-Linux8.58466,ns1.lan.rt.domain,P.,252,288,7320,0
11:42:05.769075,11,ns1.lan.rt.domain,BP-Linux8.58466,P.,252,288,7320,0
11:42:06.669393,11,192.168.190.130.50245,BP-Linux8.ssh,P.,1601828178,1851233244,2048,36
11:42:06.669906,11,BP-Linux8.ssh,168.190.130.50245,P.,1,36,291,36
11:42:06.679262,11,BP-Linux8.53220,ns1.lan.rt.domain,P.,1,36,291,36
11:42:06.679971,11,ns1.lan.rt.domain,BP-Linux8.53220,P.,1,36,291,36
11:42:06.681188,11,BP-Linux8.ssh,168.190.130.50245,P.,37,36,291,116
11:42:06.681222,11,BP-Linux8.ssh,168.190.130.50245,P.,153,36,291,36
11:42:06.681248,11,gba.solunet.com.ar.2465,107.43.74.http,P.,326991629,36,512,120
11:42:06.681274,11,gba.solunet.com.ar.2466,107.43.74.http,P.,920517760,36,512,120
11:42:06.681294,11,gba.solunet.com.ar.2467,107.43.74.http,P.,556803824,36,512,120
11:42:06.681312,11,gba.solunet.com.ar.2468,107.43.74.http,P.,1921632185,36,512,120
11:42:06.681328,11,gba.solunet.com.ar.2469,107.43.74.http,P.,1170972654,36,512,120
11:42:06.681345,11,gba.solunet.com.ar.2470,107.43.74.http,P.,754504426,36,512,120
11:42:06.681362,11,gba.solunet.com.ar.2471,107.43.74.http,P.,669863147,36,512,120
11:42:06.681379,11,gba.solunet.com.ar.2472,107.43.74.http,P.,1036593434,36,512,120
11:42:06.681396,11,gba.solunet.com.ar.2473,107.43.74.http,P.,473640609,36,512,120
11:42:06.681413,11,gba.solunet.com.ar.2474,107.43.74.http,P.,294639309,36,512,120
11:42:06.681430,11,gba.solunet.com.ar.2475,107.43.74.http,P.,2003734750,36,512,120
11:42:06.681446,11,gba.solunet.com.ar.2476,107.43.74.http,P.,943277646,36,512,120
11:42:06.681463,11,gba.solunet.com.ar.2477,107.43.74.http,P.,612921749,36,512,120
11:42:06.681480,11,gba.solunet.com.ar.2478,107.43.74.http,P.,1079269685,36,512,120
11:42:06.681497,11,gba.solunet.com.ar.2479,107.43.74.http,P.,1427118982,36,512,120
11:42:06.681514,11,gba.solunet.com.ar.2480,107.43.74.http,P.,1481846896,36,512,120
